BHID,FROM,TO,LENGTH,CLV,CLM,CLI,feglc,siglc,pglc,alglc,mnglc,pfglc,tiglc,mgglc,caglc,foglc,peso,Indicador_Itabirito,Indicador_Hematita,Hematita_Itabirito,Divisao_Itabiritos
CAP-FD00006,207.05,218.15,11.1,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,218.15,229.25,11.1,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,229.25,240.95,11.7,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,240.95,252.3,11.35,IS,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,252.3,265.65,13.35,IS,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,265.65,275,9.35,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,275,285.55,10.55,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,285.55,295.1,9.55,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,295.1,304.7,9.6,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,304.7,315.2,10.5,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,315.2,325.7,10.5,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,325.7,337.5,11.8,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,337.5,348.85,11.35,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,348.85,359.8,10.95,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00011,0,9.3,9.3,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00011,9.3,18.9,9.6,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00011,18.9,28.2,9.3,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00011,28.2,38.1,9.9,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00011,38.1,48.3,10.2,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00011,48.3,57.9,9.6,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00011,57.9,66.75,8.85,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00011,66.75,74.05,7.3,IGOC,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00011,74.05,82.45,8.4,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00011,82.45,90.1,7.65,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00011,90.1,100.9,10.8,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00011,100.9,111.35,10.45,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00011,111.35,122.15,10.8,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
