BHID;FROM;TO;LITO;feglc;siglc;pglc;alglc;mnglc;pfglc;tiglc;mgglc;caglc;foglc;peso
FDCM0170;57.95;65.15;IFR;54.5601;23.3961;0.0588;1.5939;0.00315;1.62855;0.01155;0.02625;0.0105;0.2646;2.47
FDCM0170;65.15;69.85;IC;56.4837;22.2558;0.0357;0.49875;0.01155;1.02585;0.0105;0.0231;0.0105;0.24465;3.19
FDCM0170;69.85;80.55;IC;53.22135;25.42155;0.0336;1.10985;0.0105;1.31985;0.0147;0.0105;0.00735;0.252;3.19
FDCM0170;80.55;90.25;IC;49.56;33.38055;0.0168;0.3675;0.0042;0.99015;0.00945;0.02205;0.00315;0.36225;3.19
FDCM0170;90.25;99.3;IC;48.46905;34.32135;0.0147;0.2289;0.00525;1.8291;0.00105;0.04095;0.00315;0.2856;3.19
FDCM0170;99.3;109.15;IC;44.8497;39.35505;0.01995;0.252;0.0042;0.7812;0.00105;0.0126;0.00525;0.3738;3.19
FDCM0170;109.15;119.4;IC;46.05615;37.3905;0.02625;0.20475;0.0378;0.9723;0.00315;0.02415;0.0063;0.32655;3.19
FDCM0170;119.4;124.1;IN;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
FDCM0170;124.1;134;IFR;55.17645;22.0374;0.0735;1.35345;0.13545;2.1483;0.01575;0.02205;0.0084;0.2499;2.47
FDCM0170;134;144.55;IFR;54.3417;24.3075;0.0714;0.66885;0.0651;2.1882;0.01575;0.02625;0.0084;0.6111;2.47
FDCM0170;144.55;154;IF;50.3685;28.7112;0.0546;1.08045;0.11865;2.82765;0.0147;0.0168;0.0105;0.4767;2.47
FDCM0170;154;162.8;IGO;48.45855;29.1816;0.10395;1.9446;0.05985;4.6704;0.0294;0.0798;0.021;0.23415;3.19
FDCM0170;162.8;171.95;IGO;47.74665;31.18395;0.084;0.4914;0.02415;4.4541;0.0063;0.0651;0.01365;0.2289;3.19
FDCM0170;171.95;181.05;IGO;57.23025;17.1171;0.0357;1.08885;0.02625;4.50975;0.0084;0.05565;0.0084;0.79485;3.19
FDCM028A;0;11.8;CG;61.4859;1.6254;0.09975;4.73655;0.0168;9.51825;0.25305;0.0504;0.01785;0.1512;2.88
FDCM028A;11.8;15.35;HGO;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;4.42
FDCM028A;15.35;24.75;HGO;63.48825;0.9408;0.14805;4.06455;0.01155;7.95585;0.2058;0.04935;0.0063;0.0966;4.42
FDCM028A;24.75;32.75;HGO;62.3343;1.3083;0.2583;3.02925;0.01575;10.1031;0.3171;0.0336;0.01365;0.2058;4.42
FDCM028A;32.75;41.55;HGO;60.53565;6.16245;0.21;2.6691;0.01155;8.76855;0.168;0.02415;0.0042;0.1407;4.42
FDCM028A;41.55;50.15;HGO;61.8156;5.32035;0.25515;1.6863;0.00945;9.0363;0.1008;0.0294;0.0084;0.17745;4.42
FDCM0363;0;13.4;HGO;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;4.42
FDCM0363;13.4;27.55;IGO;58.15635;4.27875;0.08715;10.4475;0.00315;6.9804;0.06825;0.0798;0.0105;0.4368;3.19
FDCM0363;27.55;38.05;IGO;62.3973;6.7893;0.03045;4.98855;0.00525;3.6561;0.09975;0.07245;0.0084;0.4074;3.19
FDCM0363;38.05;49.55;IGO;58.34955;14.7399;0.07035;3.2151;0.0126;3.3978;0.04515;0.0273;0.01995;0.3318;3.19
FDCM0363;49.55;59.15;IGO;59.51085;13.1166;0.14805;1.93935;0.0273;3.98475;0.03885;0.04515;0.0462;0.41055;3.19
FDCM0363;59.15;73.9;IN;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
